,Track Name,Artist,Track ID,Artist ID,Genres
0,Get Back,Ludacris,3njpLvANriMsdv3dgADEad,3ipn9JLAPI5GUEo4y4jcoi,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
1,Get Low,Lil Jon & The East Side Boyz,0r2Bul2NuCViraT2zX1l5j,3ciRvbBIVz9fBoPbtSYq4x,"['atl hip hop', 'atlanta bass', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']"
2,Move Bitch,Ludacris,1Q9b6CeMcDuO0uq5OJCrqu,3ipn9JLAPI5GUEo4y4jcoi,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
3,Party Up,DMX,0LWkaEyQRkF0XAms8Bg1fC,1HwM5zlC5qNWhJtM00yXzG,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
4,Shots,LMFAO,1V4jC0vJ5525lEF1bFgPX2,3sgFRtyBnxXD5ESfmbK4dl,"['dance pop', 'pop', 'pop rap']"
5,Turn Down for What,DJ Snake,67awxiNHNyjMXhVgsHuIrs,540vIaP2JwjQb9dm3aArA4,"['edm', 'electronic trap', 'pop', 'pop dance']"
6,The Real Slim Shady,Eminem,3yfqSUWxFvZELEM4PmlwIR,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']"
7,Starships,Nicki Minaj,1oHNvJVbFkexQc0BpQp7Y4,0hCNtLu0JehylgoiP8L4Gh,"['hip pop', 'pop', 'queens hip hop', 'rap']"
8,Monster,Kanye West,1ZHYJ2Wwgxes4m8Ba88PeK,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']"
9,Can't Sleep,K.Flay,3eSQsoHE6gcfPSu6sMQgZV,0pCNk4D3E2xtszsm6hMsWr,"['escape room', 'hip pop', 'modern alternative rock']"
10,WAP (feat. Megan Thee Stallion),Cardi B,4Oun2ylbjFKMPTiaSbbCih,4kYSro6naA4h99UJvo89HB,"['pop', 'rap']"
11,Baby Got Back,Sir Mix-A-Lot,1SAkL1mYNJlaqnBQxVZrRl,3TQ9JTBI2n2hfo7aRONEYV,['old school hip hop']
12,Anaconda,Nicki Minaj,2oFVgnDaPLd482rdvNq7Rh,0hCNtLu0JehylgoiP8L4Gh,"['hip pop', 'pop', 'queens hip hop', 'rap']"
13,Work,Iggy Azalea,3yx6eryOZgO54bt3B671cn,5yG7ZAZafVaAlMTeBybKAL,"['australian hip hop', 'dance pop', 'pop']"
14,Disturbia,Rihanna,2VOomzT6VavJOGBeySqaMc,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']"
15,Fancy,Iggy Azalea,3oiMJQAWVaxSubJ7b2VUtX,5yG7ZAZafVaAlMTeBybKAL,"['australian hip hop', 'dance pop', 'pop']"
16,Drop It Like It's Hot,Snoop Dogg,2NBQmPrOEEjA8VbeWOQGxO,7hJcb9fa4alzcOq3EaNPoG,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
17,Stairway to Heaven - Remaster,Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc,36QJpDe2go2KgaRleHCDTp,"['album rock', 'classic rock', 'hard rock', 'rock']"
18,Black Smoke Rising,Greta Van Fleet,32BEasyNQgqXQJKoVa0fUw,4NpFxQe2UvRCAjto3JqlSl,"['modern blues rock', 'modern hard rock', 'rock']"
19,"You're Gonna Go Far, Kid",The Offspring,6TfBA04WJ3X1d1wXhaCFVT,5LfGQac0EIXyAN8aUwmNAQ,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']"
20,Thiskidsnotalright,AWOLNATION,0dGPGavyiPtOdAGGi11pt3,4njdEjTnLfcGImKZu1iSrz,"['la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp pop']"
21,Freeze Me,Death From Above 1979,50jXnyrzW4mcBBqFTMEoAC,18H0sAptzdwid08XGg1Lcj,"['canadian rock', 'dance-punk', 'garage rock', 'indietronica', 'modern alternative rock', 'modern rock']"
22,Body Talks,The Struts,6spaGIZEfeDYlgAupMI34k,3lDpdwM8KILepMHqBWUhIA,"['glam rock', 'modern alternative rock']"
23,Glitter & Gold,Barns Courtney,1Mf27cnAF1Q6Ko83XTM5d1,5tFRohaO5yEsuJxmMnlCO9,['modern alternative rock']
24,Something Good,Dead Sara,7oFalr439syvQMVoxu9XDy,589tFv4Vf1K27wpf0uWz2j,['slayer']
25,The Times They Are A-Changin',Bob Dylan,52vA3CYKZqZVdQnzRrdZt6,74ASZWbe4lXaubB36ztrGX,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']"
26,Where Have All the Flowers Gone? - Live,Pete Seeger,40wI4VvWps8edDdZvi6a0i,1P9syEkl41IFowWIJN7ZBY,"['american folk revival', 'banjo', 'folk', 'old-time', 'singer-songwriter', 'traditional folk']"
27,Don't Stop Me Now - Remastered 2011,Queen,7hQJA50XrCWABAu5v6QZ4i,1dfeR4HaWDbWqFHLkxsg1d,"['classic rock', 'glam rock', 'rock']"
28,Under Pressure,Queen,1mSClObliRtgPVT399COQH,1dfeR4HaWDbWqFHLkxsg1d,"['classic rock', 'glam rock', 'rock']"
29,A Hard Day's Night - Remastered 2009,The Beatles,5J2CHimS7dWYMImCHkEFaJ,3WrFJ7ztbogyGnTHbHJFl2,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
30,Dancing In the Dark,Bruce Springsteen,7FwBtcecmlpc1sLySPXeGE,3eqjTLE0HfPfh78zjh6TqT,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
31,Livin' On A Prayer,Bon Jovi,37ZJ0p5Jm13JPevGcx4SkF,58lV9VcRSjABbAbfWS6skp,"['glam metal', 'rock']"
32,Losing My Religion,R.E.M.,31AOj9sFz2gM0O3hMARRBx,4KWTAlx2RvbpseOGMEmROg,"['alternative rock', 'athens indie', 'permanent wave', 'rock']"
33,"Another Brick in the Wall, Pt. 2",Pink Floyd,4gMgiXfqyzZLMhsksGmbQV,0k17h0D3J5VfsdmQ1iZtE9,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
34,Roxanne,The Police,3EYOJ48Et32uATr9ZmLnAo,5NGO30tJxFlKixkPSgXcFE,"['album rock', 'classic rock', 'permanent wave', 'rock']"
35,My Sharona,The Knack,1HOMkjp0nHMaTnfAkslCQj,0Nn9YwJzcaeuU1jJL06e3r,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave', 'new wave pop', 'power pop', 'soft rock']"
36,Sympathy For The Devil,The Rolling Stones,75zMKn5euxQdlkZgu4P42J,22bE4uQ6baNwSHPVcDxLCe,"['album rock', 'british invasion', 'classic rock', 'rock']"
37,Seven Nation Army,The White Stripes,3dPQuX8Gs42Y7b454ybpMR,4F84IBURUo98rz4r61KF70,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']"
38,Fat Bottomed Girls - Remastered 2011,Queen,4igIYHF3B5VBxEafHauVo3,1dfeR4HaWDbWqFHLkxsg1d,"['classic rock', 'glam rock', 'rock']"
39,Walk This Way,Aerosmith,4JfuiOWlWCkjP6OKurHjSn,7Ey4PD4MYsKc5I2dolUwbH,"['album rock', 'classic rock', 'hard rock', 'rock']"
40,Paradise City,Guns N' Roses,6eN1f9KNmiWEhpE2RhQqB5,3qm84nBOXUEQ2vnTfUTTFC,"['glam metal', 'hard rock', 'rock']"
41,You Shook Me All Night Long,AC/DC,2SiXAy7TuUkycRVbbWDEpo,711MCceyCBcFnzjGY4Q7Un,"['australian rock', 'hard rock', 'rock']"
42,Come with Me Now,KONGOS,2kWowW0k4oFymhkr7LmvzO,58R5LHkK3vkmEyGUPOR5kS,"['modern alternative rock', 'modern blues rock', 'south african rock']"
43,Thunderstruck,AC/DC,57bgtoPSgt236HzfBOd8kj,711MCceyCBcFnzjGY4Q7Un,"['australian rock', 'hard rock', 'rock']"
44,I Believe in a Thing Called Love,The Darkness,756CJtQRFSxEx9jV4P9hpA,5r1bdqzhgRoHC3YcCV6N5a,"['glam metal', 'hard rock']"
45,Eye of the Tiger,Survivor,2HHtWyy5CgaQbC7XSoOb0e,26bcq2nyj5GB7uRr558iQg,"['album rock', 'glam metal', 'hard rock', 'soft rock']"
46,99 Problems,JAY-Z,7sLpSWxQazJzDVG6YGzlVs,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
47,Chasing Cars,Snow Patrol,5hnyJvgoWiQUYZttV4wXy6,3rIZMv9rysU7JkLzEaC5Jp,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']"
48,Soda Pop,Britney Spears,6039GmVngyHmWfOuWOhjCK,26dSoYclwsYLMAKD3tpOr4,"['dance pop', 'pop']"
49,DONTTRUSTME,3OH!3,5jzX4dWVQeBTtfBaXnMRt5,0FWzNDaEu9jdgcYTbcOa4F,"['electropowerpop', 'pop punk', 'pop rap', 'post-teen pop']"
50,Spiderwebs,No Doubt,4ZD6SiaJi75smnel0d7jl3,0cQbJU1aAzvbEmTuljWLlF,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']"
